               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.052838,            0.028834,                   0,             0.32561,             0.46667,             0.48147,             0.15137,            0.022207,           0.0098289,                   0,            0.070038,           0.0033291,           0.0033291
                   1,            0.034903,            0.022559,                   0,                   1,             0.66643,             0.84229,             0.44506,            0.016194,           0.0066225,                   0,             0.03784,           0.0044638,           0.0044638
                   2,            0.028643,             0.02023,                   0,             0.73784,             0.75137,             0.79634,             0.38264,            0.019235,           0.0058564,                   0,            0.003441,           0.0033986,           0.0033986
